,coef_full,stderr_full,coef_debt,stderr_debt,r2_full,r2_debt,nobs_full,nobs_debt
const,0.09496601670323498,0.022393579567210522,0.09676142582145393,0.022269312446064216,0.20390978259156556,0.21178411859408375,1188,1179
esg_score,0.00031858871954369824,3.8328879738256326e-05,0.0003066643699986483,3.8292465772056034e-05,0.20390978259156556,0.21178411859408375,1188,1179
d_e,-0.0010407070768931846,0.0010461445476847193,-0.0008428996960491269,0.0010407979395799696,0.20390978259156556,0.21178411859408375,1188,1179
wacc_debt_weight_,-0.0007377309880303574,0.00022856694149516808,-0.0007655368496098248,0.00022732557589313522,0.20390978259156556,0.21178411859408375,1188,1179
wacc_equity_weight_,-0.00015579073980062004,0.00022090897348235898,-0.00016396915307516683,0.00021963202694010706,0.20390978259156556,0.21178411859408375,1188,1179
