Bank,Year,Date,Outstanding_Shares
VLY,2019,12/31/19,560340992
VLY,2020,12/31/20,560340992
WABC,2016,12/31/16,26180700
WABC,2017,12/31/17,26180700
WABC,2018,12/31/18,26180700
WABC,2019,12/31/19,26180700
WABC,2020,12/31/20,26180700
WAL,2016,12/31/16,110404000
WAL,2017,12/31/17,110404000
WAL,2018,12/31/18,110404000
WAL,2019,12/31/19,110404000
WAL,2020,12/31/20,110404000
WASH,2016,12/31/16,19291100
WASH,2017,12/31/17,19291100
WASH,2018,12/31/18,19291100
WASH,2019,12/31/19,19291100
WASH,2020,12/31/20,19291100
WBS,2016,12/31/16,168228992
WBS,2017,12/31/17,168228992
WBS,2018,12/31/18,168228992
WBS,2019,12/31/19,168228992
WBS,2020,12/31/20,168228992
WFC,2016,12/31/16,3254180096
WFC,2017,12/31/17,3254180096
WFC,2018,12/31/18,3254180096
WFC,2019,12/31/19,3254180096
WFC,2020,12/31/20,3254180096
WNEB,2016,12/31/16,20711000
WNEB,2017,12/31/17,20711000
WNEB,2018,12/31/18,20711000
WNEB,2019,12/31/19,20711000
WNEB,2020,12/31/20,20711000
WSBC,2016,12/31/16,95672200
WSBC,2017,12/31/17,95672200
WSBC,2018,12/31/18,95672200
WSBC,2019,12/31/19,95672200
WSBC,2020,12/31/20,95672200
WSBF,2016,12/31/16,19075500
WSBF,2017,12/31/17,19075500
WSBF,2018,12/31/18,19075500
WSBF,2019,12/31/19,19075500
WSBF,2020,12/31/20,19075500
WSFS,2016,12/31/16,56777000
WSFS,2017,12/31/17,56777000
WSFS,2018,12/31/18,56777000
WSFS,2019,12/31/19,56777000
WSFS,2020,12/31/20,56777000
WTBA,2016,12/31/16,16923300
WTBA,2017,12/31/17,16923300
WTBA,2018,12/31/18,16923300
WTBA,2019,12/31/19,16923300
WTBA,2020,12/31/20,16923300
WTFC,2016,12/31/16,66930300
WTFC,2017,12/31/17,66930300
WTFC,2018,12/31/18,66930300
WTFC,2019,12/31/19,66930300
WTFC,2020,12/31/20,66930300
ZION,2016,12/31/16,147571008
ZION,2017,12/31/17,147571008
ZION,2018,12/31/18,147571008
ZION,2019,12/31/19,147571008
ZION,2020,12/31/20,147571008
