Bank,1/31/16,2/29/16,3/31/16,4/30/16,5/31/16,6/30/16,7/31/16,8/31/16,9/30/16,10/31/16,11/30/16,12/31/16,1/31/17,2/28/17,3/31/17,4/30/17,5/31/17,6/30/17,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21,10/31/21,11/30/21,12/31/21,1/31/22,2/28/22,3/31/22,4/30/22,5/31/22,6/30/22,7/31/22,8/31/22,9/30/22,10/31/22,11/30/22,12/31/22,1/31/23,2/28/23,3/31/23,4/30/23,5/31/23,6/30/23,7/31/23,8/31/23,9/30/23,10/31/23,11/30/23,12/31/23
USB.N,-0.061167096,-0.038442336,0.053738318,0.051736881,0.00304521,-0.058150397,0.045623605,0.04695281,-0.028539071,0.043599907,0.108579088,0.035268037,0.024917267,0.044634378,-0.063636364,-0.004271845,-0.007605304,0.020239733,0.016563945,-0.028988253,0.045658537,0.014741556,0.014159618,-0.028467815,0.066442703,-0.048652433,-0.071008094,-0.000990099,-0.009117939,0.00060012,0.05977609,0.020750802,-0.024025134,-0.010225336,0.041897838,-0.160852001,0.119474836,0.010359656,-0.067711356,0.106453621,-0.058514629,0.043824701,0.090648855,-0.078040245,0.050294173,0.030357788,0.052788495,-0.01232717,-0.102378141,-0.127395716,-0.258182601,0.059506531,-0.025753425,0.035433071,0.000543183,-0.01194354,-0.01510989,0.086471409,0.109370988,0.078222634,-0.080274737,0.166861144,0.1062,0.073042849,0.024094356,-0.062685094,-0.02510093,0.033309327,0.035720509,0.01564603,-0.08331953,0.014998193,0.035962257,-0.028355388,-0.059957552,-0.08635936,0.092874794,-0.132843414,0.025641026,-0.033686441,-0.115983337,0.052827381,0.069257951,-0.039215686,0.141939922,-0.041566265,-0.244709826,-0.049098474,-0.127771295,0.105016722,0.200968523,-0.079385081,-0.094990419,-0.03569268,0.195734003,0.135362015
UVSP.OQ,-0.056567593,-0.029979675,0.022001048,0.011788826,0.022796353,0.04110946,0.003330162,0.106685633,0.000856898,0.016695205,0.202105263,0.082311734,-0.088996764,-0.010657194,-0.070017953,0.16988417,-0.090759076,0.087114338,0.01836394,-0.044262295,0.097770154,-0.084375,-0.040955631,-0.001779359,-0.001782531,-0.021428571,0.010948905,0.037906137,0.012173913,-0.054982818,-0.007272727,0.043956044,-0.071929825,-0.056332703,0.021634615,-0.154117647,0.089012517,0.128565347,-0.07732931,0.031071137,-0.053132435,0.099664992,0.045696877,-0.078295703,0.007902015,0.009408075,0.013980583,0.025660666,-0.072442121,-0.057971014,-0.302564103,0.084558824,-0.071186441,-0.018248175,-0.052664188,0.052321779,-0.106898695,0.103688239,0.154476671,0.123975969,0.090864917,0.120267261,0.136779324,-0.023084995,0.044038668,-0.095679012,0.037542662,-0.010233918,0.011447563,0.047827674,-0.039372822,0.085237577,0.007018717,-0.038167939,-0.076604555,-0.058295964,0.051587302,-0.04,-0.019654088,-0.005613472,-0.053225806,0.19846678,0.002487562,-0.073732719,0.039035591,0.038674033,-0.158156028,-0.152485257,-0.118787276,0.019740553,0.078539823,-0.077435897,-0.033907727,-0.041426928,0.133853541,0.166225516
VBTX.OQ,-0.110425663,-0.099167822,0.118552733,0.0660702,0.005164622,0.028901734,0.084269663,-0.012665515,0.013994169,0.013801035,0.125921724,0.34559194,0.016847623,0.054860088,-0.018499127,-0.041963016,-0.034892353,0.012692308,0.012153437,-0.009005629,0.020825445,-0.022255193,0.05538695,-0.008267434,0.033345415,-0.026306559,-0.003242075,0.037947235,0.070334262,0.010735198,-0.008046347,-0.006489293,-0.077073808,-0.16631281,0.09040747,-0.16776956,0.237605239,0.058578987,-0.135308818,0.094549959,-0.040739344,0.020448289,-0.013872832,-0.077764752,0.028177966,0.014630126,0.056458164,0.119953864,-0.027806385,-0.150070621,-0.419609472,0.256979241,-0.002277904,0.010273973,-0.055367232,0.075358852,-0.052836485,0.158543746,0.099341105,0.183033656,-0.003897116,0.13771518,0.125171939,0.032396088,0.039964476,0.007970396,-0.052527535,0.070938897,0.095463401,0.040396341,-0.032234432,0.003785011,0.009301156,0.011955168,-0.060546394,-0.139376474,0.049010654,-0.150899594,0.057416268,-0.026826115,-0.116904683,0.187664536,0.03419886,-0.140232701,0.002492877,-0.052930728,-0.31507877,-0.057502738,0.003486345,0.038216561,0.199665365,-0.125523013,-0.045720362,-0.040668524,0.111498258,0.215778474
VLY.OQ,-0.106598985,0.022727273,0.06,-0.008385744,0.007399577,-0.043022036,-0.005482456,0.063947078,0.008290155,0.01336074,0.15010142,0.026455026,0.040378007,0.02146986,-0.046079224,-0.003389831,-0.040816327,0.046985816,0.00592718,-0.058080808,0.076854334,-0.045643154,0.034782609,-0.057142857,0.120320856,-0.007955449,-0.000801925,0.007223114,0.012749004,-0.043273013,-0.041940789,0.034334764,-0.066390041,-0.112888889,0.084168337,-0.179297597,0.138513514,0.044510386,-0.09280303,0.09394572,-0.062977099,0.097759674,0.035250464,-0.058243728,0.034253092,0.065317387,0,-0.011226252,-0.080349345,-0.116809117,-0.213978495,0.143638851,-0.045454545,-0.020050125,-0.044757033,0.005354752,-0.087882823,0.115328467,0.196335079,0.066739606,0.047179487,0.199804114,0.121632653,0.002183406,0.039941903,-0.062150838,-0.040208488,0.011636928,0.020705521,-0.003756574,0.013574661,0.023065476,0.012363636,0.003591954,-0.068002863,-0.079877112,0.060934891,-0.180959874,0.122958694,-0.005988024,-0.070567986,0.099074074,0.066554339,-0.106635071,0.050397878,-0.025252525,-0.202072539,0.015151515,-0.213219616,0.050135501,0.323870968,-0.105263158,-0.067538126,-0.091121495,0.16966581,0.193406593
WABC.OQ,-0.065882353,0.0302267,0.082685041,0.000205297,-0.001436782,0.012538541,-0.045066991,0.080782313,0.000786782,-0.025943396,0.251614205,0.014509108,-0.098204354,0.01938326,-0.034917891,-0.014508329,-0.067430025,0.092184759,-0.023554604,-0.057931287,0.15499515,-0.022002015,0.061823802,-0.036875303,-0.00302267,-0.035034529,0.013789492,-0.039084022,0.025443469,-0.012580814,0.0621129,0.066811063,-0.060440419,-0.032413564,0.085724102,-0.118987342,0.125359195,0.025853814,-0.038581207,0.039158576,-0.067424478,0.028719319,0.040415517,-0.038845554,0.009251745,0.061756192,-0.015449864,0.042615385,-0.065073041,-0.087436869,0.016603251,0.071793127,-0.063809524,-0.026449644,0.051201672,0.008283632,-0.106966809,-0.036430543,0.05251098,0.00308418,0.00958582,0.076854174,0.044418566,0.009875757,-0.010567823,-0.074924279,-0.042736516,0.021422142,-0.00845964,-0.008887309,-0.035509326,0.073447378,0.006062706,0.021349862,0.019892111,-0.026115702,0.021894094,-0.075568842,0.078153072,-0.067655391,-0.06541555,0.199655766,-0.015622509,-0.04437247,-0.058464667,-0.007919366,-0.196298984,-0.085553047,-0.066156505,0.012424002,0.284334204,-0.10489937,-0.017715194,0.092254335,0.073454699,0.112403865
WAL.N,-0.091466815,-0.087783917,0.123149394,0.095865788,0.030617824,-0.133952255,0.042266462,0.123126653,-0.017791732,-0.004794885,0.250535332,0.042594178,0.013754876,0.045767517,-0.049380325,-0.02424119,-0.045511482,0.076115486,0.02398374,-0.042675665,0.100559818,0.051243406,0.04265233,-0.026813338,0.036029671,-0.003409478,-0.005987,0.014971606,0.021702272,-0.06057086,0.00194312,0.016396333,-0.013183001,-0.152047812,-0.028399668,-0.157456795,0.121296531,0.044941283,-0.113032202,0.164230019,-0.138760988,0.086755772,0.105545617,-0.121763754,0.061262091,0.070529514,0.057368741,0.092791411,-0.031052632,-0.166395075,-0.335143354,0.172165959,0.063266444,-0.00733945,-0.050699762,-0.018080668,-0.104249292,0.302972802,0.244417476,0.169299785,0.137281068,0.342182458,0.032018359,0.112558238,-0.048158371,-0.071592841,-0.000323102,0.05106658,0.115416154,0.066807572,-0.05435438,-0.019402441,-0.078588017,-0.054945055,-0.116492426,-0.081019078,0.069110498,-0.132358363,0.081869688,0.004451427,-0.143117831,0.021752358,0.02039601,-0.131018383,0.265446608,-0.014992703,-0.521282328,0.04445695,-0.08674569,0.075811209,0.424458459,-0.0373436,-0.080783843,-0.105938656,0.24622871,0.284459196
WASH.OQ,-0.001518219,-0.0598074,0.005929919,-0.018488746,0.046137046,-0.010438413,0.001054852,0.110379347,-0.045788849,0.141223272,0.110021786,0.100098135,-0.02765388,-0.005504587,-0.090405904,-0.002028398,-0.028455285,0.078451883,0.056256062,-0.058769513,0.117073171,-0.030567686,0.024324324,-0.063324538,0.010328638,-0.036245353,0.036644166,0.030697674,0.101083032,-0.047540984,0.006024096,0.026518392,-0.078333333,-0.071428571,0.024342746,-0.096387833,0.09488744,0.006917756,-0.08110687,0.076012461,-0.052499517,0.06294561,-0.03737064,-0.076249253,0.041163793,0.057545022,0.021530632,0.030657214,-0.120096672,-0.093175576,-0.148182665,-0.042396061,-0.086832334,0.024397873,0.018015267,0.00119976,-0.08148592,0.101435095,0.164347054,0.139369278,-0.027232143,0.091096833,0.085804416,-0.011233779,0.077179236,-0.066193853,-0.050632911,0.092512821,-0.005257229,0.031710079,-0.015733626,0.047769517,0.012595352,-0.049229152,-0.032614704,-0.105904762,0.069450362,-0.036454183,0.134587554,-0.077441691,-0.081967213,0.043459552,0.025979381,-0.051848875,-0.09347181,-0.018003273,-0.174761905,-0.18897865,-0.094272501,0.053024352,0.195822454,-0.126637555,-0.059642857,-0.119255602,0.153083226,0.21091997
WBS.N,-0.108093574,0.013264998,0.068134484,0.020612813,0.068777293,-0.133043922,0.059204713,0.074249166,-0.016049702,0.06287819,0.227970297,0.094134247,-0.032424466,0.045887281,-0.089022392,0.01538769,-0.041133635,0.07183908,-0.005553428,-0.101097631,0.125749786,0.04643197,0.043280596,-0.021091163,0.008190883,-0.036029671,0.015023818,0.086462094,0.064960957,-0.00624025,0.013029827,0.013172168,-0.098195167,-0.002035278,0.022603671,-0.180821007,0.093122337,0.065701559,-0.117554859,0.048549438,-0.166572558,0.078816621,0.067615658,-0.122352941,0.047140304,-0.059099637,0.104081633,0.095912918,-0.159295352,-0.153588943,-0.396892283,0.233624454,0.001769912,0.010954064,-0.04683677,0.008434177,-0.039636364,0.219613783,0.174790438,0.113900634,0.109134045,0.183101604,-0.003615983,-0.03992016,0.071253071,-0.058927311,-0.09823772,0.05031185,0.077988915,0.027543151,-0.036990708,0.036184821,0.01737106,0.059848618,-0.067928915,-0.109230221,-0.018003601,-0.141372988,0.102016607,0.012917115,-0.039319872,0.200442478,0.001474383,-0.12881855,0.1121673,0.008926876,-0.257906627,-0.053779807,-0.04691689,0.061884669,0.253509934,-0.103761623,-0.049516623,-0.058050112,0.181195681,0.131772575
WFC.N,-0.075974982,-0.065896874,0.030690537,0.033498759,0.014805922,-0.066837539,0.013522079,0.058995205,-0.128346457,0.039069557,0.150184742,0.04138322,0.022137543,0.027516421,-0.038355218,-0.032698527,-0.050148588,0.083496285,-0.026529507,-0.053207267,0.079890347,0.017951043,0.005878162,0.074375775,0.084226141,-0.112040134,-0.102722137,-0.008586148,0.039068514,0.026856825,0.033369408,0.020771513,-0.10123119,0.012747336,0.019725719,-0.151068534,0.061414931,0.020036802,-0.031469232,0.001862583,-0.083453832,0.066486365,0.023034658,-0.038008676,0.083100709,0.023592387,0.054813093,-0.012118986,-0.127509294,-0.129740094,-0.297429621,0.012195122,-0.088812392,-0.032867397,-0.05234375,-0.004534213,-0.026501035,-0.087622288,0.275058275,0.103473492,-0.009940358,0.210508701,0.080176942,0.153058613,0.037069922,-0.030607877,0.014351954,-0.005224205,0.015536105,0.102348632,-0.06606724,0.004185852,0.121300542,-0.007992565,-0.091999251,-0.099669831,0.04904882,-0.144199257,0.119989788,-0.003647139,-0.079844429,0.143460965,0.04261796,-0.138894682,0.135141681,-0.002133561,-0.200769724,0.063402889,0.001509434,0.072092439,0.08153702,-0.1055026,-0.010414144,-0.026676456,0.121196882,0.103834941
WNEB.OQ,-0.05,0.047619048,0.008373206,-0.091340451,0.006527415,-0.001297017,0.022077922,-0.038119441,0.010568032,0.032679739,0.063291139,0.113095238,0.037433155,0.036082474,0.044776119,0,-0.052380952,0.020100503,-0.019704433,0,0.095477387,-0.032110092,0.014218009,0.018691589,-0.004587156,-0.082949309,0.070351759,0.014084507,0.00462963,0.013824885,-0.013636364,-0.01843318,0.014084507,-0.07037037,-0.010956175,0.011077543,-0.078685259,0.061621622,-0.060081466,0.046587216,-0.051759834,0.019650655,0,-0.048179872,0.071991001,0.003147954,0.026150628,-0.018348624,-0.067497404,-0.0155902,-0.235294118,-0.110946746,-0.121464226,0.096590909,-0.129533679,0.015873016,0.099609375,0.023090586,0.159722222,0.031437126,-0.069666183,0.249609984,0.052434457,-0.039145907,0.050617284,-0.042303173,0.03803681,0.014184397,-0.005827506,0.140679953,-0.094552929,-0.005675369,0.03652968,0.019823789,-0.034557235,-0.039149888,-0.010477299,-0.122352941,0.179624665,-0.053409091,-0.024009604,0.076260763,0.136,-0.048289738,0.030655391,0.033846154,-0.185515873,-0.175395859,-0.163958641,0.03180212,0.145547945,-0.058295964,0.03015873,0.104776579,0.094839609,0.146496815
