instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered
TMP.A,2019-12-31,0.051788533,0.073188533,0.069957274,22.8865219,32.5704858,63.40761965,39.35638758,21.58687943,21.21166913,69.47812569,35.53311314,39.35638758,35.53311314,6725.623,735.481,2.059247576,13.5,5.890756362,0.733863804,31.26011,1.720087584,5.265666954,94.73433305,8.81367984,0.109355074,0.055583512,0.70685621
TMP.A,2020-12-31,-0.139390995,-0.134990995,-0.122565962,21.86357029,23.41648932,69.6234773,37.09166211,22.8865219,32.5704858,63.40761965,39.35638758,37.09166211,39.35638758,7622.171,344.065,1.462662523,14.4,4.85664408,0.719492095,29.10481,1.118925985,8.693476369,91.30652363,8.938816516,0.045140026,0.095211996,0.673996821
TMP.A,2021-12-31,0.187878176,0.188278176,0.177702558,20.26364203,19.12008529,61.86447204,32.16250705,21.86357029,23.41648932,69.6234773,37.09166211,32.16250705,37.09166211,7819.982,190.787,1.674300532,14.2,1.469182905,0.666706002,20.91807,0.719645563,5.792095389,94.20790461,8.964437532,0.024397371,0.061482053,0.635792988
HBNC.OQ,2017-12-31,0.215475986,0.223475986,0.134824475,22.15799615,47.43665649,46.74559597,40.35699617,21.15270351,37.49865837,65.30858931,42.1104267,40.35699617,42.1104267,3964.303,601.81,1.552745427,12.91,5.344919433,1.000335964,26.17739,2.576867527,43.36036363,56.63963637,8.28508533,0.151807266,0.765548058,0.639132048
HBNC.OQ,2018-12-31,-0.336125761,-0.318025761,-0.179837969,21.58687943,44.08740393,49.76571175,39.78300858,22.15799615,47.43665649,46.74559597,40.35699617,39.78300858,40.35699617,4246.688,588.221,1.230840994,13.39,6.92625798,1.083842783,26.03218,3.144774413,40.49020425,59.50979575,8.353894664,0.138512883,0.680395618,0.720988272
HBNC.OQ,2019-12-31,-0.009072593,0.012327407,0.014666294,20.28455285,42.41034245,65.35392126,44.56294151,21.58687943,44.08740393,49.76571175,39.78300858,44.56294151,39.78300858,5246.829,606.052,1.302606233,13.95,5.443409882,1.003927188,25.87951,2.408741001,42.32284032,57.67715968,8.565379173,0.115508243,0.733788566,0.650259213
HBNC.OQ,2020-12-31,-0.137062049,-0.132662049,-0.039145827,18.99807322,32.08691666,63.5286419,38.78542175,20.28455285,42.41034245,65.35392126,44.56294151,38.78542175,44.56294151,5886.614,590.151,1.005388077,14.91,4.964065084,1.289191321,25.87951,2.668962476,61.34442614,38.65557386,8.680436239,0.100253049,1.586949048,0.592389986
HBNC.OQ,2021-12-31,0.13627287,0.13667287,0.078669867,37.96102992,45.13567295,57.86827798,44.11265285,18.99807322,32.08691666,63.5286419,38.78542175,44.11265285,38.78542175,7411.889,828.274,1.263076272,15.71,1.939357678,1.195058873,16.66187,2.370136417,49.6088845,50.3911155,8.910840612,0.11174938,0.984476807,0.656465403
HBNC.OQ,2022-12-31,-0.036650863,-0.022450863,0.020819837,36.31866942,40.34762337,65.65155154,44.69631537,37.96102992,45.13567295,57.86827798,44.11265285,44.69631537,44.11265285,7872.518,1258.872,0.978163301,14.37,6.84650459,0.929616478,16.43014,5.972737894,59.79510746,40.20489254,8.971133239,0.159907161,1.487259477,0.414470642
HBNC.OQ,2023-12-31,-0.109331473,-0.059831473,0.019545444,32.79168491,39.7226788,55.82905358,40.74682762,36.31866942,40.34762337,65.65155154,44.69631537,23.21772519,44.69631537,7940.485,1465.851,0.878059006,14.11,5.813238509,1.021652092,14.98921,5.285970922,75.76451781,24.23548219,8.979729635,0.184604719,3.126181573,0.279323716
