instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,rf,Year,ticker_prefix,Month,symbol,market_cap,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
PFIS.OQ,2023-12-31,-0.015827112,0.033672888,0.034949748,15.2370401,21.23944303,58.16351841,31.64645267,17.26625006,25.35884361,62.24394786,35.18343799,31.64645267,35.18343799,3742.289,75590.0,1.007248334,14.16,5.361905172,0.425747806,14.1068,5.340839176,10.46495592,89.53504408,8.227452735,0.020198868,0.116881117,0.386905253,0.0495,2023,PFIS,12,PFIS,342889492.40000004,0.2852947552430693,342961431.7929044,0.28523491197912354,converged,29.55062457389612,3.2234305704218323e-192
EBTC.OQ,2017-12-31,0.106264511,0.114264511,0.110889546,22.15799615,28.34220161,17.41821094,20.32828793,21.15270351,30.30191981,10.49061433,18.80637339,20.32828793,18.80637339,2817.564,103847.0,1.705342715,11.21,6.981990175,0.937574007,33.90482,2.307132233,3.408523566,96.59147643,7.943627961,0.036857015,0.035288037,0.91620473,0.007999999999999993,2017,EBTC,12,EBTC,425911019.99999994,0.3314114570735169,426014039.5382608,0.33133131451463016,converged,24.967210574148343,6.943744373475685e-138
EBTC.OQ,2018-12-31,-0.18645563,-0.16835563,-0.161687147,21.58687943,40.5150322,25.75949367,29.36887369,22.15799615,28.34220161,17.41821094,20.32828793,29.36887369,20.32828793,2964.358,115352.0,1.474895086,11.77,7.139260032,0.733479883,33.44324,2.829689936,3.562430409,96.43756959,7.994415762,0.038912979,0.036940276,0.7158791,0.018100000000000005,2018,EBTC,12,EBTC,402270143.99999994,0.2409147287515048,402383426.910548,0.24084690408520687,converged,33.823431543132884,4.462160757140612e-251
EBTC.OQ,2019-12-31,-0.00060026,0.02079974,0.020552666,20.28455285,38.2637788,22.3463865,27.02353342,21.58687943,40.5150322,25.75949367,29.36887369,27.02353342,29.36887369,3235.049,111045.0,1.350197582,11.88,6.579958754,0.84588111,32.82101,2.183158633,4.028285957,95.97171404,8.081799354,0.034325601,0.041973679,0.822683497,0.021400000000000002,2019,EBTC,12,EBTC,423659507.99999994,0.2652459322442146,423768201.8836709,0.26517789832763333,converged,31.04801252114824,6.067768666503146e-212
EBTC.OQ,2020-12-31,-0.162257114,-0.157857114,-0.118492302,18.99807322,44.48865042,25.73341387,31.3303996,20.28455285,38.2637788,22.3463865,27.02353342,31.3303996,27.02353342,4014.324,78518.0,0.912042312,14.62,3.343127914,0.459072974,32.0822,2.261660702,22.72561365,77.27438635,8.297624244,0.019559458,0.294089862,0.382643921,0.004400000000000015,2020,EBTC,12,EBTC,319589620.0,0.2708987506604203,319667793.27974135,0.2708325036245199,converged,30.57031360102457,1.5187264332016519e-205
EBTC.OQ,2021-12-31,0.141629514,0.142029514,0.126802956,17.43215031,37.48495835,26.02849167,27.96279634,18.99807322,44.48865042,25.73341387,31.3303996,27.96279634,31.3303996,4447.819,64458.0,1.558869743,13.73,1.573164977,0.424194122,24.43548,1.997925909,11.99581234,88.00418766,8.400169143,0.014492047,0.136309563,0.384581578,0.0003999999999999837,2021,EBTC,12,EBTC,540764119.44,0.2167463913811148,540828551.6619568,0.21672056905509351,converged,41.58239287301344,0.0
EBTC.OQ,2022-12-31,0.041329061,0.055529061,0.052508824,23.65355917,56.16480794,24.28656085,37.71830949,17.43215031,37.48495835,26.02849167,27.96279634,37.71830949,27.96279634,4438.333,62398.0,1.517404141,13.49,6.025907216,0.526694805,24.3678,4.491796358,14.01072064,85.98927936,8.398034134,0.014058882,0.162935668,0.468910149,0.014199999999999997,2022,EBTC,12,EBTC,428313114.79999995,0.2315654170044144,428374633.0096953,0.23153216225782033,converged,38.1010418673082,0.0
EBTC.OQ,2023-12-31,-0.033245318,0.016254682,0.019546233,20.83148563,55.81688221,24.00115814,37.30401296,23.65355917,56.16480794,24.28656085,37.71830949,37.30401296,37.71830949,4466.034,85266.0,1.202965703,13.12,5.860830681,0.609673627,23.91978,5.009882487,15.05699062,84.94300938,8.404256045,0.019092107,0.177259915,0.537223772,0.0495,2023,EBTC,12,EBTC,395916463.23999995,0.3204804179944633,395997611.33201456,0.32041474493559186,converged,26.345712878168545,2.8735437776820167e-153
HIFS.OQ,2017-12-31,0.211924531,0.219924531,0.219501246,22.15799615,12.41071513,13.04850149,10.85317524,21.15270351,11.52291334,14.23065984,10.83840256,10.85317524,10.83840256,2284.599,579976.0,2.337300747,12.76,6.219695643,0.755718546,40.86507,1.986038345,0.203326179,99.79667382,7.733945796,0.253863369,0.002037404,0.754809139,0.008000000000000007,2017,HIFS,12,HIFS,445001829.375,0.2284617871380441,445577184.0768401,0.22816678423371403,converged,29.04063806548312,1.0101467761561427e-185
HIFS.OQ,2018-12-31,-0.215944169,-0.197844169,-0.197498226,21.58687943,10.33422403,8.55984899,8.207320757,22.15799615,12.41071513,13.04850149,10.85317524,8.207320757,10.85317524,2408.587,607351.0,1.958595488,12.46,8.165398415,0.872998443,40.9751,2.409475219,0.163129435,99.83687056,7.786795547,0.252160707,0.00163396,0.872157297,0.018100000000000005,2018,HIFS,12,HIFS,425818448.89375,0.2059530328296433,426414905.73024845,0.20566495168432897,converged,31.85283705807897,6.012335265671067e-223
HIFS.OQ,2019-12-31,0.109000391,0.130400391,0.130189249,20.28455285,9.626397162,9.131911281,8.062181053,21.58687943,10.33422403,8.55984899,8.207320757,8.062181053,8.207320757,2590.346,505887.0,1.797267895,13.57,6.505296391,0.802160068,40.9751,1.536134237,0.174017762,99.82598224,7.859546737,0.195297076,0.001743211,0.801335551,0.021400000000000002,2019,HIFS,12,HIFS,453791876.43125004,0.2425432886119692,454287052.4655467,0.24227891474715962,converged,28.034720635960667,3.0672760609238467e-173
HIFS.OQ,2020-12-31,0.002086099,0.006486099,0.006486099,18.99807322,8.595493609,8.282492701,7.245062203,20.28455285,9.626397162,9.131911281,8.062181053,7.245062203,8.062181053,2857.093,408031.0,1.569829481,13.75,6.063470349,0.862338515,40.9751,0.0,0.0,100.0,7.957559953,0.142813342,0.0,0.862338515,0.0044,2020,HIFS,12,HIFS,469195309.89375,0.3104184483383457,469601549.50130427,0.31014991372914974,converged,22.584562821526475,3.0732032361364204e-113
HIFS.OQ,2021-12-31,0.163215412,0.163615412,0.163615412,17.43215031,6.336396157,7.212436231,5.739329537,18.99807322,8.595493609,8.282492701,7.245062203,5.739329537,7.245062203,3431.165,665000.0,2.530757468,12.97,1.515266,0.904750383,28.85628,0.0,0.0,100.0,8.140655133,0.193811723,0.0,0.904750383,0.0003999999999999837,2021,HIFS,12,HIFS,897436967.3568,0.1928924656368945,898101701.4099934,0.19274969540265696,converged,37.30265469886872,7.431362159460855e-305
HIFS.OQ,2022-12-31,-0.0993085,-0.0851085,-0.0851085,17.26625006,5.80909212,6.045623836,5.255364604,17.43215031,6.336396157,7.212436231,5.739329537,5.255364604,5.739329537,4193.799,1276000.0,1.535359343,12.51,8.1263165,0.925370875,27.60445,0.0,0.0,100.0,8.341362285,0.30425874,0.0,0.925370875,0.01419999999999999,2022,HIFS,12,HIFS,592596504.0,0.3012537313995794,593854512.8395503,0.30061556186673266,converged,20.33134705531994,3.395614946192573e-92
HIFS.OQ,2023-12-31,0.030747465,0.080247465,0.080247465,15.2370401,6.068898342,8.657698912,6.319439617,17.26625006,5.80909212,6.045623836,5.255364604,6.319439617,5.255364604,4483.947,1692675.0,1.031280506,13.17,7.35744808,0.992065899,27.60445,0.0,0.0,100.0,8.408258964,0.377496656,0.0,0.992065899,0.0495,2023,HIFS,12,HIFS,420370560.0,0.4371867400995465,421981487.5285492,0.43551776604368664,converged,12.567371279266641,1.595801574809769e-36
CCBG.OQ,2017-12-31,0.090039485,0.098039485,0.087711604,22.15799615,21.13294252,43.91786776,26.29237189,21.15270351,22.34340265,35.52758817,23.87225945,26.29237189,23.87225945,2898.794,74334.0,1.371262573,17.1,5.315383584,0.659217717,28.62855075,2.410858852,12.77683791,87.22316209,7.972050067,0.025643078,0.146484461,0.596821204,0.007999999999999993,2017,CCBG,12,CCBG,391239406.0,0.2489225309521126,391313147.70035803,0.24887562230419064,converged,34.337334205399436,1.0883640767403328e-258
CCBG.OQ,2018-12-31,-0.209559841,-0.191459841,-0.160249138,21.58687943,23.62458951,46.18365534,28.34391232,22.15799615,21.13294252,43.91786776,26.29237189,28.34391232,26.29237189,2959.183,74996.0,1.284625985,17.13,6.945860758,0.794676973,32.37173011,2.726451983,14.8694362,85.1305638,7.992668496,0.025343482,0.174666248,0.710723625,0.018100000000000005,2018,CCBG,12,CCBG,395844229.0,0.2525078130286987,395917879.78333676,0.2524608401609171,converged,33.89737225109584,3.641429147444953e-252
CCBG.OQ,2019-12-31,-0.036650363,-0.015250363,-0.011649331,20.28455285,19.30971019,28.76896954,19.93444529,21.58687943,23.62458951,46.18365534,28.34391232,19.93444529,28.34391232,3088.953,65805.0,1.564241786,17.9,5.529033065,0.712768439,31.61897003,2.107997065,12.13896426,87.86103574,8.035587478,0.021303335,0.138160951,0.651241796,0.0214,2019,CCBG,12,CCBG,520174450.0,0.2102236956015361,520238861.73411685,0.21019766741760806,converged,42.696268192962975,0.0
CCBG.OQ,2020-12-31,-0.246080862,-0.241680862,-0.163256066,24.33537481,33.05754843,22.87023054,25.39839845,20.28455285,19.30971019,28.76896954,19.93444529,25.39839845,19.93444529,3798.071,135598.0,1.203814887,17.3,4.570647503,0.862822705,32.84715,1.291627048,31.32549792,68.67450208,8.242248585,0.035701808,0.456144522,0.660501744,0.004400000000000015,2020,CCBG,12,CCBG,419209442.0,0.3810864199246038,419344444.6794662,0.38096373393602545,converged,20.91691650834425,1.8781484728365872e-97
CCBG.OQ,2021-12-31,0.16043387,0.16083387,0.131034244,22.22374927,26.56503108,55.18432958,33.73260432,24.33537481,33.05754843,22.87023054,25.39839845,33.73260432,25.39839845,4263.849,88328.0,1.126527636,17.15,1.523270552,0.755238361,24.41855,1.555310378,19.98920351,80.01079649,8.357927552,0.020715555,0.249831328,0.635280749,0.0003999999999999837,2021,CCBG,12,CCBG,445950384.0,0.2218151955253115,446038676.6758658,0.2217712875462633,converged,38.34090801473087,0.0
CCBG.OQ,2022-12-31,0.095728296,0.109928296,0.096976105,19.68436486,26.70374176,61.4981378,35.94955973,22.22374927,26.56503108,55.18432958,33.73260432,35.94955973,33.73260432,4519.223,110193.0,1.39398369,15.3,6.494718696,0.672728227,23.68359,4.191997814,16.61890771,83.38109229,8.416095355,0.024383174,0.199312665,0.583910596,0.01419999999999999,2022,CCBG,12,CCBG,552070512.5,0.253989842293072,552179151.8166595,0.25393987068005214,converged,33.47781385191443,5.069341757653685e-246
