instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf,smb,hml,rf,WACC_FF,ticker_prefix,Year,Month,market_cap,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
BANF.OQ,2022-12-31,0.009041265,0.023241265,0.023583295,16.94937276,44.86363711,22.60256009,30.54128564,18.48795725,38.53599035,22.15250799,27.24079029,30.54128564,27.24079029,12387.863,86.344,2.317623478,16.61,8.970059868,1.137779202,20.45447,4.35943006,2.990801928,97.00919807,9.424472482,0.006970048,0.030830086,1.110544264,0.1074024228769552,202212,-6.37,-0.76,1.35,0.33,-6.709723071971393,BANF,2022,12,2803980315.8,0.32531245515259,2803980399.5921497,0.3253124454311871,converged,53.09680784557963,0.0
BANF.OQ,2023-12-31,0.060921689,0.110421689,0.110421689,14.98557002,40.31887931,25.31391435,29.260079,16.94937276,44.86363711,22.60256009,30.54128564,29.260079,30.54128564,12372.042,89.452,2.235435359,16.9,7.792237282,1.115607807,19.56257,0.0,0.0,100.0,9.423194529,0.007230173,0.0,1.115607807,0.10809254649,202312,4.85,6.29,4.89,0.43,5.840697863949999,BANF,2023,12,3152610856.52,0.2583629651253895,3152610943.3282948,0.2583629580112742,converged,67.24810349554534,0.0
AROW.OQ,2017-12-31,0.111070856,0.119070856,0.103691442,22.15799615,30.5175293,8.289865019,18.12104594,21.15270351,31.4707733,7.282423208,18.23117591,18.12104594,18.23117591,2760.465,244.966,1.896079487,15.0,5.013335612,0.619601145,30.08052,1.917215905,14.55477282,85.44522718,7.923154423,0.088740846,0.170340384,0.553659664,0.0646440186251814,201712,1.06,-1.32,0.05,0.09,0.6400365648287614,AROW,2017,12,358356224.2,0.2156566703798053,358356461.9261614,0.2156565273177105,converged,65.85780470010916,0.0
AROW.OQ,2018-12-31,-0.161252323,-0.143152323,-0.121649567,21.58687943,22.91036508,11.20253165,15.39645247,22.15799615,30.5175293,8.289865019,18.12104594,15.39645247,18.12104594,2988.334,353.659,1.719592234,14.9,6.05340398,0.622665674,29.7094,2.498989189,13.37919468,86.62080532,8.00247132,0.118346544,0.154457057,0.561684289,0.0660914315402075,201812,-9.55,-2.33,-1.94,0.19,-4.983939444565248,AROW,2018,12,358168365.88,0.1623618208032795,358168709.0867976,0.1623616652238676,converged,85.27259708433415,0.0
AROW.OQ,2019-12-31,0.053459611,0.074859611,0.064556188,20.28455285,22.51587105,52.38352966,30.02594272,21.58687943,22.91036508,11.20253165,15.39645247,30.02594272,15.39645247,3184.275,236.353,1.878980283,14.8,4.732924173,0.594509045,29.7094,1.725332219,16.42447009,83.57552991,8.065979913,0.074225059,0.196522476,0.522352876,0.0618450165495077,201912,2.77,0.76,1.73,0.14,1.4953111281989098,AROW,2019,12,449109919.44,0.1962231567400675,449110148.807714,0.1962230565257849,converged,73.73343784321708,0.0
AROW.OQ,2020-12-31,-0.183621121,-0.179221121,-0.141078924,18.99807322,18.95256987,48.17980469,26.74520435,20.28455285,22.51587105,52.38352966,30.02594272,26.74520435,30.02594272,3688.636,87.703,1.38783661,15.5,3.987268628,0.633919553,29.17827,1.183610401,20.3312656,79.6687344,8.213012021,0.02377654,0.255197547,0.536885399,0.0609573934444492,202012,4.63,5.01,-1.69,0.01,2.347986370115371,AROW,2020,12,378948132.67999995,0.2665497667221852,378948217.7909852,0.2665497068556741,converged,57.30049312727678,0.0
AROW.OQ,2021-12-31,0.218330889,0.218730889,0.209345335,17.43215031,17.67301815,44.26701319,24.70194175,18.99807322,18.95256987,48.17980469,26.74520435,24.70194175,26.74520435,4027.952,70.169,1.522470067,15.7,1.543761519,0.662189186,21.27914,2.128484023,4.646882214,95.35311779,8.301013337,0.017420515,0.048733406,0.637723954,0.0735838111807639,202112,3.23,-1.62,3.24,0.01,2.049794176703506,AROW,2021,12,473572698.04,0.1413557972620094,473572766.1351932,0.141355776936415,converged,111.3850394464651,0.0
AROW.OQ,2022-12-31,0.061807489,0.076007489,0.073899342,15.8938172,25.42706308,46.86126629,29.48187915,17.43215031,17.67301815,44.26701319,24.70194175,29.48187915,24.70194175,3969.509,79.919,1.587107485,15.1,6.812876327,0.670815154,21.27914,4.313115919,5.012922273,94.98707773,8.286397688,0.020133221,0.052774782,0.644057921,0.0748013116416474,202212,-6.37,-0.76,1.35,0.33,-3.743726318867972,AROW,2022,12,484611846.16,0.2526120557036838,484611923.7170372,0.2526120152757933,converged,61.81787876317474,0.0
BHB.A,2017-12-31,0.13451369,0.14251369,0.123586878,22.15799615,39.66854724,63.34134065,42.47848207,21.15270351,27.22938214,51.90557452,32.19178037,42.47848207,32.19178037,3565.184,829.721,1.176156821,13.73,5.715397779,0.777567838,28.25284,2.154519248,14.89647678,85.10352322,8.178970944,0.232728802,0.175039484,0.690811662,0.0741553976282772,201712,1.06,-1.32,0.05,0.09,0.7803377608682234,BHB,2017,12,314481477.17999995,0.3229987075431673,314482282.3790393,0.3229978805387362,converged,39.70052360768649,0.0
BHB.A,2018-12-31,-0.219405922,-0.201305922,-0.165827638,21.58687943,33.78781017,75.47523873,43.92983979,22.15799615,39.66854724,63.34134065,42.47848207,43.92983979,42.47848207,3608.487,723.796,0.939570468,14.23,7.396805531,0.839373328,28.25284,4.259374773,15.30121951,84.69878049,8.19104385,0.200581573,0.180654543,0.743061748,0.0798513849701502,201812,-9.55,-2.33,-1.94,0.19,-6.623863482410882,BHB,2018,12,268578896.56,0.2067159782885366,268579598.96459603,0.2067154376732057,converged,62.07945961647067,0.0
