instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf,smb,hml,rf,WACC_FF,ticker_prefix,Year,Month,symbol,year,market_cap,fiscal_date_monthly,equity_vol,asset_value,asset_vol,merton_status,distance_to_default,probability_of_default
INBK.OQ,2021-12-31,0.142832836,0.143232836,0.112141128,17.43215031,31.06028329,64.48647608,38.6210319,18.99807322,29.48305654,54.9833887,34.41761598,38.6210319,34.41761598,4210.994,619153.0,1.206425767,17.37,1.741794121,0.775289298,15.25895535,2.41003531,25.31693011,74.68306989,8.345454003,0.147032506,0.338991556,0.602276381,0.0681060593824239,202112,3.23,-1.62,3.24,0.01,1.88284056595352,INBK,2021,12,INBK,2021,458849563.2,2021-12-31,0.2923737492285714,459450417.4634337,0.29199139237991534,converged,-17.135036538217246,1.0
INBK.OQ,2022-12-31,0.084846636,0.099046636,0.087669994,15.8938172,31.53756587,66.60800745,39.62151535,17.43215031,31.06028329,64.48647608,38.6210319,39.62151535,38.6210319,4543.104,719460.0,0.603110466,14.75,6.202175404,0.512533666,13.55549548,6.178188738,24.92713402,75.07286598,8.421365758,0.158363093,0.332039195,0.398229886,0.0627688656859162,202212,-6.37,-0.76,1.35,0.33,-2.189955242804015,INBK,2022,12,INBK,2022,220119639.24,2022-12-31,0.3125560148935227,220817835.98356745,0.3115677541816868,converged,-16.315641192768794,1.0
NFBK.OQ,2016-12-31,0.241575137,0.243575137,0.154777226,21.15270351,40.20279645,50.4536405,38.10389762,18.2821119,30.55678487,48.11070261,32.47601823,38.10389762,32.47601823,3850.094,473206.0,1.560018674,18.56,3.388054859,0.304513452,35.92678,2.339953994,38.84723873,61.15276127,8.255852843,0.122907648,0.635249135,0.216423691,0.0372054191285974,201612,1.81,0.14,3.47,0.03,0.3612254078742746,NFBK,2016,12,NFBK,2016,851243217.0,2016-12-31,0.1717929137898475,851702437.6491492,0.1717002865412947,converged,-27.933405580610586,1.0
NFBK.OQ,2017-12-31,0.144428624,0.152428624,0.096112709,22.15799615,38.43795321,52.87920384,38.10173818,21.15270351,40.20279645,50.4536405,38.10389762,38.10173818,38.10389762,3991.417,471549.0,1.304743097,17.49,3.276788313,0.313228566,35.92678,2.236553273,40.77958405,59.22041595,8.291901585,0.118140751,0.688606849,0.217336825,0.0365946366228359,201712,1.06,-1.32,0.05,0.09,0.255767193255662,NFBK,2017,12,NFBK,2017,728053787.9999999,2017-12-31,0.19940128254502254,728511400.6209,0.19927602912629339,converged,-23.895157904296966,1.0
NFBK.OQ,2018-12-31,-0.250031879,-0.231931879,-0.141241353,21.58687943,37.37501847,37.00199867,31.85872868,22.15799615,38.43795321,52.87920384,38.10173818,31.85872868,38.10173818,4408.432,408891.0,1.009189692,16.76,5.137792355,0.559170483,35.92678,3.234389235,35.8949128,64.1050872,8.39127435,0.092752026,0.5599386,0.411526747,0.0517622773162817,201812,-9.55,-2.33,-1.94,0.19,-3.294023284626782,NFBK,2018,12,NFBK,2018,577583655.0,2018-12-31,0.22529548966401944,577980461.4446588,0.22514081540042485,converged,-20.09974837974055,1.0
NFBK.OQ,2019-12-31,-0.025783173,-0.004383173,0.004137861,20.28455285,34.11462945,54.72567123,36.62209785,21.58687943,37.37501847,37.00199867,31.85872868,36.62209785,31.85872868,5055.302,857004.0,1.198548954,15.73,3.713088397,0.561778716,33.55176412,2.087396321,46.68151038,53.31848962,8.528192872,0.169525777,0.875521995,0.355158524,0.0434376847572061,201912,2.77,0.76,1.73,0.14,0.910824224559345,NFBK,2019,12,NFBK,2019,722938656.0,2019-12-31,0.13748470426453213,723770331.7040341,0.13732672225946624,converged,-37.22825552610558,1.0
OSBC.OQ,2017-12-31,0.203816091,0.211816091,0.134759948,22.15799615,26.04137424,27.71791352,22.89497049,21.15270351,30.38356766,19.89334471,22.23185366,22.89497049,22.23185366,2383.429,246615.0,2.018516216,12.93,6.474213002,1.36946159,31.375235,1.987515789,38.88252258,61.11747742,7.776295486,0.103470672,0.636193184,0.953274998,0.0822271659685552,201712,1.06,-1.32,0.05,0.09,0.94750822668394,OSBC,2017,12,OSBC,2017,615017130.0,2017-12-31,0.18598291017055102,615256456.4252568,0.18591056533844097,converged,-24.885995961382694,1.0
OSBC.OQ,2018-12-31,-0.313999632,-0.295899632,-0.212590754,21.58687943,28.42790969,19.38374417,21.07839111,22.15799615,26.04137424,27.71791352,22.89497049,21.07839111,22.89497049,2676.003,313355.0,1.689009625,12.63,7.272799743,0.979697001,28.26105,2.87197516,26.32168074,73.67831926,7.892079542,0.11709815,0.357251373,0.779834482,0.0780543168943402,201812,-9.55,-2.33,-1.94,0.19,-6.748009986076492,OSBC,2018,12,OSBC,2018,585730600.0,2018-12-31,0.21392090368827266,586034693.9601657,0.21380989992786154,converged,-22.24344994342187,1.0
OSBC.OQ,2019-12-31,0.064683764,0.086083764,0.063572629,20.28455285,29.39379333,41.32760267,29.45725846,21.58687943,28.42790969,19.38374417,21.07839111,29.45725846,21.07839111,2635.545,205870.0,1.451002891,14.53,6.165989092,1.067948179,35.99412,1.88441085,30.41123639,69.58876361,7.876845271,0.078112876,0.437013604,0.834520715,0.0765666662971987,201912,2.77,0.76,1.73,0.14,2.159678527424545,OSBC,2019,12,OSBC,2019,606907014.0,2019-12-31,0.24597985135401376,607106799.6219923,0.2458989047435902,converged,-17.724308492210202,1.0
OSBC.OQ,2020-12-31,-0.317412733,-0.313012733,-0.178549433,18.99807322,38.94231442,36.56196517,32.47769541,20.28455285,29.39379333,41.32760267,29.45725846,32.47769541,29.45725846,3040.837,231501.0,0.964612967,14.26,6.462638305,1.45129398,28.24617,2.001763934,41.073028,58.926972,8.019888085,0.076130684,0.697015757,0.967441927,0.0834418361165719,202012,4.63,5.01,-1.69,0.01,3.971384845095794,OSBC,2020,12,OSBC,2020,455067620.0,2020-12-31,0.5626132479857734,455292279.11146283,0.5623356324887098,converged,-7.932205983007384,0.9999999999999989
OSBC.OQ,2021-12-31,0.349157857,0.349557857,0.235626152,17.43215031,36.19699283,27.66676292,27.9137431,18.99807322,38.94231442,36.56196517,32.47769541,27.9137431,32.47769541,6212.189,198876.0,1.115008867,12.55,1.629077912,1.263053863,25.61751,1.850704786,33.92926418,66.07073582,8.734268609,0.032013836,0.513529383,0.913947794,0.0829075529550506,202112,3.23,-1.62,3.24,0.01,2.70674178602608,OSBC,2021,12,OSBC,2021,559764556.55,2021-12-31,0.30701281807511044,559957554.8759305,0.3069070011977333,converged,-11.34957536068002,1.0
OSBC.OQ,2022-12-31,0.095181475,0.109381475,0.089734782,17.26625006,27.96580199,28.90968343,24.47615415,17.43215031,36.19699283,27.66676292,27.9137431,24.47615415,27.9137431,5888.317,260810.99999999997,1.550719343,12.52,7.860926435,1.125739195,25.61751,4.38609303,25.59608852,74.40391148,8.680725497,0.044292962,0.344015362,0.896369676,0.0893034390556197,202212,-6.37,-0.76,1.35,0.33,-5.081590148788292,OSBC,2022,12,OSBC,2022,715100268.4399999,2022-12-31,0.3231361596732508,715353371.3100512,0.3230218292000874,converged,-11.804147568901936,1.0
OSBC.OQ,2023-12-31,0.026873885,0.076373885,0.055444029,15.2370401,27.00772039,43.42301088,29.20093553,17.26625006,27.96580199,28.90968343,24.47615415,29.20093553,24.47615415,5722.799,516625.0,1.195493769,14.06,6.135489801,1.107960216,25.61751,4.320595309,47.3138413,52.6861587,8.6522133,0.090274881,0.898031712,0.664253356,0.0718733282692738,202312,4.85,6.29,4.89,0.43,3.07290318264077,OSBC,2023,12,OSBC,2023,690135838.48,2023-12-31,0.36873489034040685,690637194.9037704,0.36846721346564004,converged,-12.323330622697325,1.0
