instrument,date,ritrf,rit,new_wacc,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score,esg_combined_score_1,total_assets,debt__total,price_to_book_value_per_share,capital_adequacy__total_,weighted_average_cost_of_capital_,beta_levered,wacc_tax_rate_,wacc_cost_of_debt_,wacc_debt_weight_,wacc_equity_weight_,lnta,td_ta,d_e,beta_unlevered,WACC_CAPM,yyyymm,mkt_rf_x,smb_x,hml_x,rf_x,WACC_FF,year,beta_mkt,beta_smb,beta_hml,n_obs,beta_merge,mkt_rf,smb,hml,rf,factor_merge,weight_sum,kE_FF
CHMG.OQ,2022-12-31,0.065108006,0.079308006,0.07861811,17.26625006,28.80149052,56.76256983,34.93703012,19.0205481,31.64618133,54.09664068,35.40002586,34.93703012,35.40002586,2645.553,99.137,1.294219453,12.57,4.175451735,0.071866309,0.1930119,0.04792702326,0.01697934628,0.9830206536999999,7.880635396,0.037473073,0.017272624,0.07087835,0.0350925465567453,202212,-6.37,-0.76,1.35,0.33,0.015182437240446375,2022,-0.0014385957615209,-0.0005148417461946,0.0009057805943926,12,both,-0.2132,-0.0702,0.2581,0.014199999999999999,both,0.9999999999799999,0.014776632478351846
CHMG.OQ,2023-12-31,-0.06735865,-0.01785865,-0.016861578,15.2370401,25.17337349,53.63194047,31.9786092,17.26625006,28.80149052,56.76256983,34.93703012,31.9786092,34.93703012,2710.529,34.97,1.208368977,13.26,4.71184296,0.237482658,0.1930119,0.05314016639,0.016414839889999998,0.9835851601000001,7.904899098,0.012901541,0.016688784,0.234326827,0.0465623895657511,202312,4.85,6.29,4.89,0.43,0.04985738467964542,2023,0.0078361143236815,0.0105158032085952,0.0062138570957918,12,both,0.2175,-0.034,-0.1405,0.0495,both,0.9999999999900001,0.04997377063434975
ISTR.OQ,2018-12-31,-0.334016655,-0.315916655,-0.269021265,21.58687943,20.59396151,50.07661559,28.24218652,22.15799615,29.17886611,57.7087623,35.24787202,28.24218652,35.24787202,1786.469,232.549,1.290497368,13.46,4.347632297,0.307916447,0.3141266,0.02646664206,0.14037618289999998,0.8596238171,7.487996325,0.130172424,0.16329955,0.276902578,0.0468653922880119,201812,-9.55,-2.33,-1.94,0.19,0.017943816732402168,2018,0.0035626739232405,0.0100392418588077,-0.0039182673708155,12,both,-0.0682,-0.0323,-0.0962,0.0181,both,1.0,0.01790969544746796
ISTR.OQ,2019-12-31,-0.129080314,-0.107680314,-0.09541426,20.28455285,23.64745724,54.35848456,31.29819323,21.58687943,20.59396151,50.07661559,28.24218652,31.29819323,28.24218652,2148.916,183.318,1.113707971,15.02,2.643744429,0.135938796,0.3141266,0.02173061019,0.1000618154,0.8999381846,7.672718808,0.085307197,0.111187432,0.126306592,0.0370530675421191,201912,2.77,0.76,1.73,0.14,0.018490738818834614,2019,-0.0052683137970812,0.0114923837662321,0.0029272844240532,12,both,0.28350000000000003,-0.0621,-0.1036,0.021400000000000002,both,1.0,0.018889489340312555
ISTR.OQ,2020-12-31,-0.291410279,-0.287010279,-0.20021957,20.85479836,18.5945613,54.29477499,29.03638982,20.28455285,23.64745724,54.35848456,31.29819323,29.03638982,31.29819323,2321.181,174.999,0.721258666,14.71,4.506701555,0.748885283,0.3141266,0.02313443233,0.2865537694,0.7134462306,7.749831387,0.075392225,0.401647324,0.587140326,0.0633504759433532,202012,4.63,5.01,-1.69,0.01,0.004627257265898136,2020,0.0064350428484577,0.0192058604027481,0.0178478454108825,12,both,0.2359,0.13449999999999998,-0.47,0.0044,both,1.0,0.0001127274890060162
ISTR.OQ,2021-12-31,0.099189087,0.099589087,0.085461459,19.0205481,21.10759287,47.94782943,27.95931394,20.85479836,18.5945613,54.29477499,29.03638982,27.95931394,29.03638982,2513.203,135.656,0.784935261,12.99,1.96433395,0.667964194,0.1989734,0.03730899694,0.2026814951,0.7973185049,7.829313314,0.053977335,0.254203927,0.554960797,0.0672574076337731,202112,3.23,-1.62,3.24,0.01,0.009011099638656058,2021,0.0062136653814389,0.0041557092748717,0.007764777255656,12,both,0.23870000000000002,-0.037200000000000004,0.2545,0.0004,both,1.0,0.003704745353088691
ISTR.OQ,2022-12-31,0.086681936,0.100881936,0.087686774,17.26625006,17.13839726,69.40223464,33.68307984,19.0205481,21.10759287,47.94782943,27.95931394,33.68307984,27.95931394,2753.807,439.74,0.987972889,13.25,5.844494952,0.495555085,0.1965359,0.0477177329,0.2109792909,0.7890207091000001,7.920739597,0.159684393,0.267393857,0.407917527,0.059129684418513,202212,-6.37,-0.76,1.35,0.33,0.02156864225968777,2022,-0.0002025326796006,0.0209742412708342,0.0167122573182554,12,both,-0.2132,-0.0702,0.2581,0.014199999999999999,both,1.0,0.017084221843920003
UNTY.OQ,2018-12-31,-0.266178266,-0.248078266,-0.23733671,21.58687943,23.25782561,23.15234288,19.87072494,22.15799615,31.361166,9.474948524,18.96611981,19.87072494,18.96611981,1579.157,220.31,1.615972503,13.49,5.955353883,0.540530888,0.3348413,0.0282795148,0.04024733555,0.9597526645000001,7.364646439,0.139511144,0.041935112,0.525862733,0.0658639642192659,201812,-9.55,-2.33,-1.94,0.19,0.01608315169070494,2018,0.009813049168583,0.0126936103216771,0.0109351429505748,12,both,-0.0682,-0.0323,-0.0962,0.0181,both,1.00000000005,0.015968785681467174
UNTY.OQ,2019-12-31,0.074851103,0.096251103,0.092879602,20.28455285,21.11906936,49.6094662,28.33446623,21.58687943,23.25782561,23.15234288,19.87072494,28.33446623,19.87072494,1718.942,293.31,1.528129538,13.06,5.802403423,0.705279325,0.3348413,0.02161608798,0.04117965338,0.9588203466,7.449464264,0.17063403,0.042948247,0.685690918,0.0766932284448856,201912,2.77,0.76,1.73,0.14,0.0198072657952637,2019,0.0036154909032306,0.0146149504888017,0.0142564241250907,12,both,0.28350000000000003,-0.0621,-0.1036,0.021400000000000002,both,0.99999999998,0.020040437706351895
WNEB.OQ,2018-12-31,-0.194256602,-0.176156602,-0.147664096,21.58687943,12.78253392,52.19298246,25.12961051,22.15799615,13.07307453,39.15008007,20.57827379,25.12961051,20.57827379,2118.822,267.268,1.202676524,14.87,4.02539137,0.253948973,0.2495862,0.02500689453,0.1461737937,0.8538262063000001,7.658615553,0.126139902,0.171198533,0.225038354,0.0435357934302287,201812,-9.55,-2.33,-1.94,0.19,0.01785459297803131,2018,0.0027823643963436,0.0090994061446475,-0.0008556329802035,12,both,-0.0682,-0.0323,-0.0962,0.0181,both,1.0,0.017698643822392827
