Bank,Year,equity_vol
ABCB.N,2016,0.34705242217560894
ACNB.OQ,2016,0.1748011864531145
AROW.OQ,2016,0.21327533666027415
ASB.N,2016,0.2139144682629109
ATLO.OQ,2016,0.17576943014612983
AUBN.OQ,2016,0.20242246768249855
BAC.N,2016,0.4142781182726377
BANC.N,2016,0.5176586763432748
BANF.OQ,2016,0.21965037870825807
BANR.OQ,2016,0.22948232708425279
BCBP.OQ,2016,0.11992941007161982
BFIN.OQ,2016,0.16157865034903687
BHB.A,2016,0.2326122921430745
BHLB.N,2016,0.21289619962267653
BKU.N,2016,0.29374375978406797
BMRC.OQ,2016,0.2910714824977276
BOH.N,2016,0.1628763253392815
BOKF.OQ,2016,0.27280569150086276
BRKL.OQ,2016,0.21439825394771345
BSRR.OQ,2016,0.3321313684709495
BUSE.OQ,2016,0.26974365372983394
BWFG.OQ,2016,0.19521078548552692
CAC.OQ,2016,0.2554580591338949
CADE.N,2016,0.3176616049665484
CATY.OQ,2016,0.27659956110761696
CBAN.N,2016,0.24038197171633996
CBFV.OQ,2016,0.20481770632531182
CBSH.OQ,2016,0.18475838716709977
CBU.N,2016,0.23510356649334518
CCBG.OQ,2016,0.307260946911443
CCNE.OQ,2016,0.2605165412194812
CFFI.OQ,2016,0.20754076130237104
CFG.N,2016,0.4425909243864283
CFR.N,2016,0.3340048987439353
CHCO.OQ,2016,0.23252429306685363
CHMG.OQ,2016,0.30035408356027676
CIVB.OQ,2016,0.3841004944462925
CMA.N,2016,0.39987613518747844
CNOB.OQ,2016,0.35677904382091796
COLB.OQ,2016,0.29812171125201636
CPF.N,2016,0.20572085754778374
CTBI.OQ,2016,0.23728154569266496
CUBI.N,2016,0.29959650743909255
CVBF.OQ,2016,0.32293052613913037
CZNC.OQ,2016,0.18773557720328135
DCOM.OQ,2016,0.28494823073292536
DFS.N,2016,0.3146816309238848
EBMT.OQ,2016,0.3005834279461459
EBTC.OQ,2016,0.3507006856404203
EFSC.OQ,2016,0.202038535983623
EGBN.OQ,2016,0.25125865935266456
EVBN.A,2016,0.2514104219427171
EWBC.OQ,2016,0.4100670436366182
FBIZ.OQ,2016,0.3462229377602928
FBNC.OQ,2016,0.3175169845485465
FCAP.OQ,2016,0.1690789516436064
FCBC.OQ,2016,0.2738977670629933
FCCO.OQ,2016,0.21428050299985574
FCF.N,2016,0.26664497240145496
FCNCA.OQ,2016,0.25792614991483476
FFBC.OQ,2016,0.2987323508358958
FFIC.OQ,2016,0.3249233809682223
FFIN.OQ,2016,0.27999423922722283
FGBI.OQ,2016,0.3226714862362289
FHN.N,2016,0.314085240604096
FISI.OQ,2016,0.2267733960875486
FITB.OQ,2016,0.3527488273992241
FLG.N,2016,0.1892887056283553
FLIC.OQ,2016,0.2641138590040869
FMBH.OQ,2016,0.2242393532005783
FMNB.OQ,2016,0.2565049807561491
FNB.N,2016,0.241358740507767
FNLC.OQ,2016,0.2657667525925346
FNWB.OQ,2016,0.14622541781531792
FRBA.OQ,2016,0.2238943568374179
FRBKQ.PK,2016,0.6690514853833901
FRCB.PK,2016,0.21908028898281603
FRME.OQ,2016,0.282053135199934
FRST.OQ,2016,0.22366935421223166
FSBW.OQ,2016,0.17345034525546046
FULT.OQ,2016,0.2125766728149151
FUNC.OQ,2016,0.3857546285907122
GABC.OQ,2016,0.24712971899761715
GBCI.N,2016,0.2722309392490062
GSBC.OQ,2016,0.2948820237628028
HAFC.OQ,2016,0.3012823033114365
HBAN.OQ,2016,0.37111072075632534
HBCP.OQ,2016,0.23296952254739844
HBNC.OQ,2016,0.31322808862074647
HFWA.OQ,2016,0.2969939207692963
HIFS.OQ,2016,0.2600788274367933
HMST.OQ,2016,0.25718821439454964
HOMB.N,2016,0.30152845852990406
HOPE.OQ,2016,0.3424823561156494
HTBK.OQ,2016,0.3260446964200533
HTH.N,2016,0.27312379162250944
HWBK.OQ,2016,0.18416084761059612
HWC.OQ,2016,0.30505303844347226
IBCP.OQ,2016,0.20234357456885063
IBOC.OQ,2016,0.31692717237902934
INBK.OQ,2016,0.26729205713250476
INDB.OQ,2016,0.23773971698659727
ISTR.OQ,2016,0.20511484584993409
JPM.N,2016,0.23881091510747293
KEY.N,2016,0.38929259048587306
LARK.OQ,2016,0.10659559931121165
LCNB.OQ,2016,0.2798045860596709
LKFN.OQ,2016,0.22254908619859515
MBWM.OQ,2016,0.2710023840177626
MFIN.OQ,2016,0.569315018008496
MOFG.OQ,2016,0.23942556207958915
MPB.OQ,2016,0.24877830721057417
