symbol,year,fiscal_date,shares_outstanding
PFIS,2022,2022-12-31,7158017
PFIS,2023,2023-12-31,7040852
PFS,2016,2016-12-31,130660000
PFS,2017,2017-12-31,130660000
PFS,2018,2018-12-31,130660000
PFS,2019,2019-12-31,130660000
PFS,2020,2020-12-31,130660000
PFS,2021,2021-12-31,76969999
PFS,2022,2022-12-31,75169196
PFS,2023,2023-12-31,75537186
PGC,2016,2016-12-31,17735900
PGC,2017,2017-12-31,17735900
PGC,2018,2018-12-31,17735900
PGC,2019,2019-12-31,17735900
PGC,2020,2020-12-31,17735900
PGC,2021,2021-12-31,18393888
PGC,2022,2022-12-31,17813451
PGC,2023,2023-12-31,17739677
PKBK,2016,2016-12-31,11843300
PKBK,2017,2017-12-31,11843300
PKBK,2018,2018-12-31,11843300
PKBK,2019,2019-12-31,11843300
PKBK,2020,2020-12-31,11843300
PKBK,2021,2021-12-31,11897559
PKBK,2022,2022-12-31,11940575
PKBK,2023,2023-12-31,11956299
PLBC,2016,2016-12-31,6932930
PLBC,2017,2017-12-31,6932930
PLBC,2018,2018-12-31,6932930
PLBC,2019,2019-12-31,6932930
PLBC,2020,2020-12-31,6932930
PLBC,2021,2021-12-31,5816991
PLBC,2022,2022-12-31,5850216
PLBC,2023,2023-12-31,5871523
PNC,2016,2016-12-31,395567008
PNC,2017,2017-12-31,395567008
PNC,2018,2018-12-31,395567008
PNC,2019,2019-12-31,395567008
PNC,2020,2020-12-31,395567008
PNC,2021,2021-12-31,420000000
PNC,2022,2022-12-31,401000000
PNC,2023,2023-12-31,398029217
PNFP,2016,2016-12-31,77556096
PNFP,2017,2017-12-31,77556096
PNFP,2018,2018-12-31,77556096
PNFP,2019,2019-12-31,77556096
PNFP,2020,2020-12-31,77556096
PNFP,2021,2021-12-31,76100000
PNFP,2022,2022-12-31,76500000
PNFP,2023,2023-12-31,76766674
PPBI,2016,2016-12-31,97024704
PPBI,2017,2017-12-31,97024704
PPBI,2018,2018-12-31,97024704
PPBI,2019,2019-12-31,97024704
PPBI,2020,2020-12-31,97024704
PPBI,2021,2021-12-31,94389543
PPBI,2022,2022-12-31,95021760
PPBI,2023,2023-12-31,95860092
PRK,2016,2016-12-31,16191300
PRK,2017,2017-12-31,16191300
PRK,2018,2018-12-31,16191300
PRK,2019,2019-12-31,16191300
PRK,2020,2020-12-31,16191300
PRK,2021,2021-12-31,16219563
PRK,2022,2022-12-31,16263583
PRK,2023,2023-12-31,16116479
PVBC,2016,2016-12-31,17788000
PVBC,2017,2017-12-31,17788000
PVBC,2018,2018-12-31,17788000
PVBC,2019,2019-12-31,17788000
PVBC,2020,2020-12-31,17788000
PVBC,2021,2021-12-31,17854649
PVBC,2022,2022-12-31,17669698
PVBC,2023,2023-12-31,17677479
PWOD,2016,2016-12-31,7614210
PWOD,2017,2017-12-31,7614210
PWOD,2018,2018-12-31,7614210
PWOD,2019,2019-12-31,7614210
PWOD,2020,2020-12-31,7614210
PWOD,2021,2021-12-31,7070047
PWOD,2022,2022-12-31,7056585
PWOD,2023,2023-12-31,7508994
QCRH,2016,2016-12-31,16931400
QCRH,2017,2017-12-31,16931400
QCRH,2018,2018-12-31,16931400
QCRH,2019,2019-12-31,16931400
QCRH,2020,2020-12-31,16931400
QCRH,2021,2021-12-31,15613460
QCRH,2022,2022-12-31,16795942
QCRH,2023,2023-12-31,16749254
RBCAA,2016,2016-12-31,17374700
RBCAA,2017,2017-12-31,17374700
RBCAA,2018,2018-12-31,17374700
RBCAA,2019,2019-12-31,17374700
RBCAA,2020,2020-12-31,17374700
RBCAA,2021,2021-12-31,19980986
RBCAA,2022,2022-12-31,19744423
RBCAA,2023,2023-12-31,19357917
RF,2016,2016-12-31,898929984
RF,2017,2017-12-31,898929984
RF,2018,2018-12-31,898929984
RF,2019,2019-12-31,898929984
RF,2020,2020-12-31,898929984
RF,2021,2021-12-31,941907925
RF,2022,2022-12-31,934491492
RF,2023,2023-12-31,922343005
SBCF,2016,2016-12-31,85985400
SBCF,2017,2017-12-31,85985400
SBCF,2018,2018-12-31,85985400
SBCF,2019,2019-12-31,85985400
SBCF,2020,2020-12-31,85985400
SBCF,2021,2021-12-31,58504250
SBCF,2022,2022-12-31,71617852
SBCF,2023,2023-12-31,84861498
SBFG,2016,2016-12-31,6525130
SBFG,2017,2017-12-31,6525130
SBFG,2018,2018-12-31,6525130
SBFG,2019,2019-12-31,6525130
SBFG,2020,2020-12-31,6525130
SBFG,2021,2021-12-31,7228546
SBFG,2022,2022-12-31,6935462
SBFG,2023,2023-12-31,6719676
SBNY,2016,2016-12-31,62974000
SBNY,2017,2017-12-31,62974000
SBNY,2018,2018-12-31,62974000
SBNY,2019,2019-12-31,62974000
SBNY,2020,2020-12-31,52670000
SBNY,2021,2021-12-31,60631944
SBNY,2022,2022-12-31,62928819
SBSI,2016,2016-12-31,30214000
SBSI,2017,2017-12-31,30214000
SBSI,2018,2018-12-31,30214000
SBSI,2019,2019-12-31,30214000
SBSI,2020,2020-12-31,30214000
SBSI,2021,2021-12-31,32352052
SBSI,2022,2022-12-31,31546630
SBSI,2023,2023-12-31,30249430
SFNC,2016,2016-12-31,125952000
SFNC,2017,2017-12-31,125952000
SFNC,2018,2018-12-31,125952000
SFNC,2019,2019-12-31,125952000
SFNC,2020,2020-12-31,125952000
SFNC,2021,2021-12-31,112715444
SFNC,2022,2022-12-31,127046654
SFNC,2023,2023-12-31,125184119
SFST,2016,2016-12-31,8168860
SFST,2017,2017-12-31,8168860
SFST,2018,2018-12-31,8168860
SFST,2019,2019-12-31,8168860
SFST,2020,2020-12-31,8168860
SFST,2021,2021-12-31,7925819
SFST,2022,2022-12-31,8011045
SFST,2023,2023-12-31,8088186
SHBI,2016,2016-12-31,33374300
SHBI,2017,2017-12-31,33374300
SHBI,2018,2018-12-31,33374300
SHBI,2019,2019-12-31,33374300
SHBI,2020,2020-12-31,33374300
SHBI,2021,2021-12-31,19807533
SHBI,2022,2022-12-31,19849563
SHBI,2023,2023-12-31,33161532
SNV,2016,2016-12-31,139012992
SNV,2017,2017-12-31,139012992
SNV,2018,2018-12-31,139012992
SNV,2019,2019-12-31,139012992
SNV,2020,2020-12-31,139012992
SNV,2021,2021-12-31,145010086
SNV,2022,2022-12-31,145486634
SNV,2023,2023-12-31,146705330
SRCE,2016,2016-12-31,24562900
SRCE,2017,2017-12-31,24562900
SRCE,2018,2018-12-31,24562900
SRCE,2019,2019-12-31,24562900
SRCE,2020,2020-12-31,24562900
SRCE,2021,2021-12-31,24739512
SRCE,2022,2022-12-31,24662286
SRCE,2023,2023-12-31,24434604
STBA,2016,2016-12-31,38330300
STBA,2017,2017-12-31,38330300
STBA,2018,2018-12-31,38330300
STBA,2019,2019-12-31,38330300
STBA,2020,2020-12-31,38330300
STBA,2021,2021-12-31,39351194
STBA,2022,2022-12-31,38999733
STBA,2023,2023-12-31,38232806
SYBT,2016,2016-12-31,29468900
SYBT,2017,2017-12-31,29468900
SYBT,2018,2018-12-31,29468900
SYBT,2019,2019-12-31,29468900
SYBT,2020,2020-12-31,29468900
SYBT,2021,2021-12-31,26596000
SYBT,2022,2022-12-31,29259000
SYBT,2023,2023-12-31,29329000
TBBK,2016,2016-12-31,46709700
TBBK,2017,2017-12-31,46709700
TBBK,2018,2018-12-31,46709700
TBBK,2019,2019-12-31,46709700
TBBK,2020,2020-12-31,46709700
TBBK,2021,2021-12-31,57370563
TBBK,2022,2022-12-31,55689627
TBBK,2023,2023-12-31,53202630
TCBI,2016,2016-12-31,45903400
TCBI,2017,2017-12-31,45903400
TCBI,2018,2018-12-31,45903400
TCBI,2019,2019-12-31,45903400
TCBI,2020,2020-12-31,45903400
TCBI,2021,2021-12-31,50618494
TCBI,2022,2022-12-31,48783763
TCBI,2023,2023-12-31,47237912
TCBK,2016,2016-12-31,32858400
TCBK,2017,2017-12-31,32858400
TCBK,2018,2018-12-31,32858400
TCBK,2019,2019-12-31,32858400
TCBK,2020,2020-12-31,32858400
TCBK,2021,2021-12-31,29730424
TCBK,2022,2022-12-31,33331513
TCBK,2023,2023-12-31,33268102
TFC,2016,2016-12-31,1309539968
TFC,2017,2017-12-31,1309539968
TFC,2018,2018-12-31,1309539968
TFC,2019,2019-12-31,1309539968
TFC,2020,2020-12-31,1309539968
TFC,2021,2021-12-31,1327818000
TFC,2022,2022-12-31,1326829000
TFC,2023,2023-12-31,1333743000
TFIN,2016,2016-12-31,23676700
TFIN,2017,2017-12-31,23676700
TFIN,2018,2018-12-31,23676700
TFIN,2019,2019-12-31,23676700
TFIN,2020,2020-12-31,23676700
TFIN,2021,2021-12-31,25158879
TFIN,2022,2022-12-31,24053585
TFIN,2023,2023-12-31,23302414
THFF,2016,2016-12-31,11850600
THFF,2017,2017-12-31,11850600
THFF,2018,2018-12-31,11850600
THFF,2019,2019-12-31,11850600
THFF,2020,2020-12-31,11850600
THFF,2021,2021-12-31,12629893
THFF,2022,2022-12-31,12051964
THFF,2023,2023-12-31,11795024
TMP,2016,2016-12-31,14434500
TMP,2017,2017-12-31,14434500
TMP,2018,2018-12-31,14434500
TMP,2019,2019-12-31,14434500
TMP,2020,2020-12-31,14434500
TMP,2021,2021-12-31,14574087
TMP,2022,2022-12-31,14426992
TMP,2023,2023-12-31,14309733
TOWN,2016,2016-12-31,75397104
TOWN,2017,2017-12-31,75397104
TOWN,2018,2018-12-31,75397104
TOWN,2019,2019-12-31,75397104
TOWN,2020,2020-12-31,75397104
TOWN,2021,2021-12-31,72683985
TOWN,2022,2022-12-31,72841379
TOWN,2023,2023-12-31,73888745
TRMK,2016,2016-12-31,60477600
TRMK,2017,2017-12-31,60477600
TRMK,2018,2018-12-31,60477600
TRMK,2019,2019-12-31,60477600
TRMK,2020,2020-12-31,60477600
TRMK,2021,2021-12-31,61648679
TRMK,2022,2022-12-31,60977686
TRMK,2023,2023-12-31,61071173
TRST,2016,2016-12-31,19019700
TRST,2017,2017-12-31,19019700
TRST,2018,2018-12-31,19019700
TRST,2019,2019-12-31,19019700
TRST,2020,2020-12-31,19019700
TRST,2021,2021-12-31,19219989
TRST,2022,2022-12-31,19024433
TRST,2023,2023-12-31,19024433
UBFO,2016,2016-12-31,17475900
UBFO,2017,2017-12-31,17475900
UBFO,2018,2018-12-31,17475900
UBFO,2019,2019-12-31,17475900
UBFO,2020,2020-12-31,17475900
UBFO,2021,2021-12-31,17028239
UBFO,2022,2022-12-31,17067253
UBFO,2023,2023-12-31,17167895
UBSI,2016,2016-12-31,142060000
UBSI,2017,2017-12-31,142060000
UBSI,2018,2018-12-31,142060000
UBSI,2019,2019-12-31,142060000
UBSI,2020,2020-12-31,142060000
UBSI,2021,2021-12-31,136392758
UBSI,2022,2022-12-31,134745122
UBSI,2023,2023-12-31,134949063
UCB,2016,2016-12-31,121499000
UCB,2017,2017-12-31,121499000
UCB,2018,2018-12-31,121499000
UCB,2019,2019-12-31,121499000
UCB,2020,2020-12-31,121499000
UCB,2021,2021-12-31,89349826
UCB,2022,2022-12-31,106222758
UCB,2023,2023-12-31,119010319
UMBF,2016,2016-12-31,75918496
UMBF,2017,2017-12-31,75918496
UMBF,2018,2018-12-31,75918496
UMBF,2019,2019-12-31,75918496
UMBF,2020,2020-12-31,75918496
UMBF,2021,2021-12-31,48430805
UMBF,2022,2022-12-31,48319404
UMBF,2023,2023-12-31,48554127
UNB,2016,2016-12-31,4538600
UNB,2017,2017-12-31,4538600
UNB,2018,2018-12-31,4538600
UNB,2019,2019-12-31,4538600
UNB,2020,2020-12-31,4538600
UNB,2021,2021-12-31,4493655
UNB,2022,2022-12-31,4508587
UNB,2023,2023-12-31,4518848
UNTY,2016,2016-12-31,10031100
UNTY,2017,2017-12-31,10031100
UNTY,2018,2018-12-31,10031100
UNTY,2019,2019-12-31,10031100
UNTY,2020,2020-12-31,10031100
UNTY,2021,2021-12-31,10391000
UNTY,2022,2022-12-31,10584000
UNTY,2023,2023-12-31,10063000
USB,2016,2016-12-31,1558029952
USB,2017,2017-12-31,1558029952
USB,2018,2018-12-31,1558029952
USB,2019,2019-12-31,1558029952
USB,2020,2020-12-31,1558029952
USB,2021,2021-12-31,1483502171
USB,2022,2022-12-31,1530978258
USB,2023,2023-12-31,1557993055
UVSP,2016,2016-12-31,28880200
UVSP,2017,2017-12-31,28880200
UVSP,2018,2018-12-31,28880200
UVSP,2019,2019-12-31,28880200
UVSP,2020,2020-12-31,28880200
UVSP,2021,2021-12-31,29500542
UVSP,2022,2022-12-31,29271915
UVSP,2023,2023-12-31,29511721
VBTX,2016,2016-12-31,54271500
VBTX,2017,2017-12-31,54271500
VBTX,2018,2018-12-31,54271500
VBTX,2019,2019-12-31,54271500
VBTX,2020,2020-12-31,54271500
VBTX,2021,2021-12-31,49372329
VBTX,2022,2022-12-31,54029955
VBTX,2023,2023-12-31,54338368
VLY,2016,2016-12-31,560340992
VLY,2017,2017-12-31,560340992
VLY,2018,2018-12-31,560340992
VLY,2019,2019-12-31,560340992
VLY,2020,2020-12-31,560340992
VLY,2021,2021-12-31,421437068
VLY,2022,2022-12-31,506374478
VLY,2023,2023-12-31,507709927
WABC,2016,2016-12-31,26180700
WABC,2017,2017-12-31,26180700
WABC,2018,2018-12-31,26180700
WABC,2019,2019-12-31,26180700
WABC,2020,2020-12-31,26180700
WABC,2021,2021-12-31,26866000
WABC,2022,2022-12-31,26913000
WABC,2023,2023-12-31,26671000
WAL,2016,2016-12-31,110404000
WAL,2017,2017-12-31,110404000
WAL,2018,2018-12-31,110404000
WAL,2019,2019-12-31,110404000
WAL,2020,2020-12-31,110404000
WAL,2021,2021-12-31,106631320
WAL,2022,2022-12-31,108914526
WAL,2023,2023-12-31,109466305
WASH,2016,2016-12-31,19291100
WASH,2017,2017-12-31,19291100
WASH,2018,2018-12-31,19291100
WASH,2019,2019-12-31,19291100
WASH,2020,2020-12-31,19291100
WASH,2021,2021-12-31,17330818
WASH,2022,2022-12-31,17182753
WASH,2023,2023-12-31,17030987
WBS,2016,2016-12-31,168228992
WBS,2017,2017-12-31,168228992
WBS,2018,2018-12-31,168228992
WBS,2019,2019-12-31,168228992
WBS,2020,2020-12-31,168228992
WBS,2021,2021-12-31,90583621
WBS,2022,2022-12-31,174007573
WBS,2023,2023-12-31,172021956
WFC,2016,2016-12-31,3254180096
WFC,2017,2017-12-31,3254180096
WFC,2018,2018-12-31,3254180096
WFC,2019,2019-12-31,3254180096
WFC,2020,2020-12-31,3254180096
WFC,2021,2021-12-31,3885801497
WFC,2022,2022-12-31,3833804452
WFC,2023,2023-12-31,3598862582
WNEB,2016,2016-12-31,20711000
WNEB,2017,2017-12-31,20711000
WNEB,2018,2018-12-31,20711000
WNEB,2019,2019-12-31,20711000
WNEB,2020,2020-12-31,20711000
WNEB,2021,2021-12-31,22656515
WNEB,2022,2022-12-31,22216789
WNEB,2023,2023-12-31,21666807
WSBC,2016,2016-12-31,95672200
WSBC,2017,2017-12-31,95672200
WSBC,2018,2018-12-31,95672200
WSBC,2019,2019-12-31,95672200
WSBC,2020,2020-12-31,95672200
WSBC,2021,2021-12-31,62307245
WSBC,2022,2022-12-31,59198963
WSBC,2023,2023-12-31,59376435
WSBF,2016,2016-12-31,19075500
WSBF,2017,2017-12-31,19075500
WSBF,2018,2018-12-31,19075500
WSBF,2019,2019-12-31,19075500
WSBF,2020,2020-12-31,19075500
WSBF,2021,2021-12-31,24795124
WSBF,2022,2022-12-31,22174225
WSBF,2023,2023-12-31,20314786
WSFS,2016,2016-12-31,56777000
WSFS,2017,2017-12-31,56777000
WSFS,2018,2018-12-31,56777000
WSFS,2019,2019-12-31,56777000
WSFS,2020,2020-12-31,56777000
WSFS,2021,2021-12-31,47608740
WSFS,2022,2022-12-31,61611912
WSFS,2023,2023-12-31,60537831
WTBA,2016,2016-12-31,16923300
WTBA,2017,2017-12-31,16923300
WTBA,2018,2018-12-31,16923300
WTBA,2019,2019-12-31,16923300
WTBA,2020,2020-12-31,16923300
WTBA,2021,2021-12-31,16554846
WTBA,2022,2022-12-31,16640413
WTBA,2023,2023-12-31,16725094
WTFC,2016,2016-12-31,66930300
WTFC,2017,2017-12-31,66930300
WTFC,2018,2018-12-31,66930300
WTFC,2019,2019-12-31,66930300
WTFC,2020,2020-12-31,66930300
WTFC,2021,2021-12-31,57054091
WTFC,2022,2022-12-31,60794008
WTFC,2023,2023-12-31,61243626
ZION,2016,2016-12-31,147571008
ZION,2017,2017-12-31,147571008
ZION,2018,2018-12-31,147571008
ZION,2019,2019-12-31,147571008
ZION,2020,2020-12-31,147571008
ZION,2021,2021-12-31,151625000
ZION,2022,2022-12-31,148664000
ZION,2023,2023-12-31,148153000
FRBKQ,2022,2022-12-31,58940000
FRBKQ,2023,2023-12-31,63867092
FRCB,2023,2023-12-31,186500000
SBNY,2023,2023-12-31,62970000
