Total valid regressions: 0
Total insufficient data: 1191
Insufficient data (instrument, year, n_obs):
('CCNE.OQ', 2017, 1)
('CCNE.OQ', 2018, 1)
('CCNE.OQ', 2019, 1)
('CCNE.OQ', 2020, 1)
('CCNE.OQ', 2021, 1)
('CCNE.OQ', 2022, 1)
('CCNE.OQ', 2023, 1)
('CFFI.OQ', 2018, 1)
('CFFI.OQ', 2019, 1)
('CFFI.OQ', 2020, 1)
('CFFI.OQ', 2021, 1)
('CFFI.OQ', 2022, 1)
('CFG.N', 2016, 1)
('CFG.N', 2017, 1)
('CFG.N', 2018, 1)
('CFG.N', 2019, 1)
('CFG.N', 2020, 1)
('CFG.N', 2021, 1)
('CFG.N', 2022, 1)
('CFR.N', 2016, 1)
('CFR.N', 2017, 1)
('CFR.N', 2018, 1)
('CFR.N', 2019, 1)
('CFR.N', 2020, 1)
('CFR.N', 2021, 1)
('CFR.N', 2022, 1)
('CHCO.OQ', 2017, 1)
('CHCO.OQ', 2018, 1)
('CHCO.OQ', 2019, 1)
('CHCO.OQ', 2020, 1)
('CHCO.OQ', 2021, 1)
('CHCO.OQ', 2022, 1)
('CHCO.OQ', 2023, 1)
('CHMG.OQ', 2018, 1)
('CHMG.OQ', 2019, 1)
('CHMG.OQ', 2020, 1)
('CHMG.OQ', 2021, 1)
('CHMG.OQ', 2022, 1)
('CHMG.OQ', 2023, 1)
('CIVB.OQ', 2018, 1)
('CIVB.OQ', 2019, 1)
('CIVB.OQ', 2020, 1)
('CIVB.OQ', 2021, 1)
('CIVB.OQ', 2022, 1)
('CIVB.OQ', 2023, 1)
('CMA.N', 2016, 1)
('CMA.N', 2017, 1)
('CMA.N', 2018, 1)
('CMA.N', 2019, 1)
('CMA.N', 2020, 1)
('CMA.N', 2021, 1)
('CMA.N', 2022, 1)
('CMA.N', 2023, 1)
('CNOB.OQ', 2017, 1)
('CNOB.OQ', 2018, 1)
('CNOB.OQ', 2019, 1)
('CNOB.OQ', 2020, 1)
('CNOB.OQ', 2021, 1)
('CNOB.OQ', 2022, 1)
('CNOB.OQ', 2023, 1)
('COLB.OQ', 2016, 1)
('COLB.OQ', 2017, 1)
('COLB.OQ', 2018, 1)
('COLB.OQ', 2019, 1)
('COLB.OQ', 2020, 1)
('COLB.OQ', 2021, 1)
('COLB.OQ', 2022, 1)
('COLB.OQ', 2023, 1)
('CPF.N', 2017, 1)
('CPF.N', 2018, 1)
('CPF.N', 2019, 1)
('CPF.N', 2020, 1)
('CPF.N', 2021, 1)
('CPF.N', 2022, 1)
('CPF.N', 2023, 1)
('CTBI.OQ', 2017, 1)
('CTBI.OQ', 2018, 1)
('CTBI.OQ', 2019, 1)
('CUBI.N', 2017, 1)
('CUBI.N', 2018, 1)
('CUBI.N', 2019, 1)
('CUBI.N', 2020, 1)
('CUBI.N', 2021, 1)
('CUBI.N', 2022, 1)
('CVBF.OQ', 2016, 1)
('CVBF.OQ', 2017, 1)
('CVBF.OQ', 2018, 1)
('CVBF.OQ', 2019, 1)
('CVBF.OQ', 2020, 1)
('CVBF.OQ', 2021, 1)
('CVBF.OQ', 2022, 1)
('CVBF.OQ', 2023, 1)
('CZNC.OQ', 2018, 1)
('CZNC.OQ', 2019, 1)
('CZNC.OQ', 2020, 1)
('CZNC.OQ', 2021, 1)
('CZNC.OQ', 2022, 1)
('CZNC.OQ', 2023, 1)
('DCOM.OQ', 2017, 1)
('DCOM.OQ', 2018, 1)
('DCOM.OQ', 2019, 1)
('DCOM.OQ', 2020, 1)
('DCOM.OQ', 2021, 1)
('DCOM.OQ', 2022, 1)
('DFS.N', 2016, 1)
('DFS.N', 2017, 1)
('DFS.N', 2018, 1)
('DFS.N', 2019, 1)
('DFS.N', 2020, 1)
('DFS.N', 2021, 1)
('DFS.N', 2022, 1)
('DFS.N', 2023, 1)
('EBMT.OQ', 2018, 1)
('EBMT.OQ', 2019, 1)
('EBMT.OQ', 2022, 1)
('EBTC.OQ', 2017, 1)
('EBTC.OQ', 2018, 1)
('EBTC.OQ', 2019, 1)
('EBTC.OQ', 2020, 1)
('EBTC.OQ', 2021, 1)
('EBTC.OQ', 2022, 1)
('EBTC.OQ', 2023, 1)
('EFSC.OQ', 2017, 1)
('EFSC.OQ', 2018, 1)
('EFSC.OQ', 2019, 1)
('EFSC.OQ', 2020, 1)
('EFSC.OQ', 2021, 1)
('EFSC.OQ', 2022, 1)
('EFSC.OQ', 2023, 1)
('EGBN.OQ', 2020, 1)
('EGBN.OQ', 2021, 1)
('EGBN.OQ', 2022, 1)
('EGBN.OQ', 2023, 1)
('EVBN.A', 2018, 1)
('EVBN.A', 2019, 1)
('EVBN.A', 2020, 1)
('EVBN.A', 2021, 1)
('EVBN.A', 2022, 1)
('EVBN.A', 2023, 1)
('EWBC.OQ', 2016, 1)
('EWBC.OQ', 2017, 1)
('EWBC.OQ', 2018, 1)
('EWBC.OQ', 2019, 1)
('EWBC.OQ', 2020, 1)
('EWBC.OQ', 2021, 1)
('EWBC.OQ', 2022, 1)
('FBIZ.OQ', 2018, 1)
('FBIZ.OQ', 2019, 1)
('FBIZ.OQ', 2020, 1)
('FBIZ.OQ', 2021, 1)
('FBIZ.OQ', 2022, 1)
('FBIZ.OQ', 2023, 1)
('FBNC.OQ', 2017, 1)
('FBNC.OQ', 2018, 1)
('FBNC.OQ', 2019, 1)
('FBNC.OQ', 2020, 1)
('FBNC.OQ', 2021, 1)
('FBNC.OQ', 2022, 1)
('FBNC.OQ', 2023, 1)
('FCAP.OQ', 2018, 1)
('FCBC.OQ', 2019, 1)
('FCBC.OQ', 2020, 1)
('FCBC.OQ', 2021, 1)
('FCBC.OQ', 2022, 1)
('FCBC.OQ', 2023, 1)
('FCCO.OQ', 2018, 1)
('FCCO.OQ', 2019, 1)
('FCCO.OQ', 2020, 1)
('FCCO.OQ', 2021, 1)
('FCCO.OQ', 2022, 1)
('FCCO.OQ', 2023, 1)
('FCF.N', 2017, 1)
('FCF.N', 2018, 1)
('FCF.N', 2019, 1)
('FCF.N', 2020, 1)
