,coef,std_err,p_value
const,0.016056700564024338,0.0010332618841142436,1.865153434662917e-54
environmental_pillar_score,-1.0074362591950367e-05,3.048971473421369e-05,0.7410838444837584
social_pillar_score,1.3083947128513164e-05,3.359270322498541e-05,0.6969153546246152
governance_pillar_score,1.0946923303087321e-05,1.9294864834137462e-05,0.5704770558448315
